市縣,區域,總計,礦業及土石採取業,製造業,電力及燃氣供應業,用水供應及污染整治業,營建工程業,批發及零售業,運輸及倉儲業,住宿及餐飲業,出版、影音製作、傳播及資通訊服務業,金融及保險業、強制性社會安全,不動產業,專業、科學及技術服務業,支援服務業,教育業,醫療保健及社會工作服務業,藝術、娛樂及休閒服務業,其他服務業
苗栗縣,通霄鎮,1134,1,200,4,8,151,412,47,85,3,15,12,20,23,16,15,14,108
苗栗縣,竹南鎮,4632,0,754,6,24,527,1726,79,459,30,71,121,146,67,100,82,60,380
苗栗縣,頭份市,4748,5,425,0,26,629,1738,139,490,22,79,144,115,96,76,94,111,559
苗栗縣,後龍鎮,1452,1,143,1,14,243,609,39,125,2,9,20,21,26,25,25,13,136
苗栗縣,卓蘭鎮,566,0,33,2,0,43,247,19,89,2,4,3,9,6,16,11,7,75
苗栗縣,大湖鄉,467,0,21,1,0,31,213,10,83,2,6,7,7,5,6,11,6,58
苗栗縣,公館鄉,1154,3,123,1,6,151,408,52,134,6,13,17,25,22,24,21,24,124
苗栗縣,銅鑼鄉,789,5,165,3,4,74,285,28,86,5,7,9,16,11,13,9,8,61
苗栗縣,南庄鄉,388,1,9,1,0,28,138,11,151,2,4,0,2,2,8,5,5,21
苗栗縣,頭屋鄉,364,1,42,0,2,66,124,9,38,1,5,1,13,11,4,6,6,35
苗栗縣,三義鄉,976,2,97,1,4,66,526,18,138,2,5,4,9,13,14,12,13,52
苗栗縣,西湖鄉,155,0,22,0,4,16,66,9,15,0,3,0,5,1,2,4,0,8
苗栗縣,造橋鄉,399,0,83,1,4,68,117,19,38,1,7,6,3,13,7,6,1,25
苗栗縣,三灣鄉,262,1,25,1,2,36,99,6,39,4,2,0,6,3,5,3,2,28
苗栗縣,獅潭鄉,113,0,7,1,0,13,47,2,27,1,3,0,0,4,2,1,0,5
苗栗縣,泰安鄉,131,0,0,0,0,2,40,4,68,0,2,0,0,1,9,4,1,0
連江縣,全部,851,0,16,5,9,82,232,104,228,12,11,3,12,31,11,12,36,47
連江縣,南竿鄉,518,0,12,2,4,51,163,63,113,8,6,3,7,22,7,5,23,29
連江縣,北竿鄉,161,0,2,1,1,17,35,29,48,1,2,0,3,7,1,2,3,9
連江縣,莒光鄉,66,0,1,1,2,8,14,5,21,2,2,0,0,1,2,3,4,0
連江縣,東引鄉,106,0,1,1,2,6,20,7,46,1,1,0,2,1,1,2,6,9
金門縣,全部,3444,0,88,9,11,555,1182,276,555,15,39,117,74,124,50,65,71,213
金門縣,金城鎮,1464,0,20,4,3,155,551,70,281,7,24,57,35,61,28,34,32,102
金門縣,金沙鎮,404,0,7,0,2,102,129,59,37,0,2,7,9,7,6,6,7,24
金門縣,金湖鎮,885,0,35,3,5,140,310,91,126,5,7,35,15,27,7,16,21,42
